ssyk_code,keywords
1111,"riksdagsledamot, kommunalråd, minister, förtroendevald, politician, mp"
1112,"generaldirektör, kommunchef, stadsdirektör, regiondirektör, myndighetschef, director general"
1113,"generalsekreterare, förbundsordförande, kanslichef, fackförbund, secretary general"
1120,"vd, ceo, koncernchef, företagsledare, managing director"
1211,"cfo, ekonomichef, finanschef, redovisningschef, finance director, head of finance"
1212,"cfo, ekonomichef, finanschef, redovisningschef, finance director"
1221,"hr-chef, personalchef, chro, hr director, head of hr"
1222,"hr-chef, personalchef, chro, hr director, head of hr"
1230,"förvaltningschef, planeringschef, administrativ chef, kanslichef, head of administration"
1241,"kommunikationschef, informationschef, pr-chef, presschef, communications director"
1242,"kommunikationschef, informationschef, pr-chef, presschef, communications director"
1251,"säljchef, försäljningschef, marknadschef, cmo, sales director, marketing director"
1252,"säljchef, försäljningschef, marknadschef, cmo, sales director, marketing director"
1291,"kontorschef, administrativ chef, servicechef, office manager"
1292,"kontorschef, administrativ chef, servicechef, office manager"
1311,"cio, cto, it-chef, digitaliseringschef, head of it"
1312,"cio, cto, it-chef, digitaliseringschef, head of it"
1321,"inköpschef, logistikchef, transportchef, lagerchef, procurement, supply chain"
1322,"inköpschef, logistikchef, transportchef, lagerchef, procurement, supply chain"
1331,"forskningschef, utvecklingschef, fou-chef, r&d, head of research"
1332,"forskningschef, utvecklingschef, fou-chef, r&d, head of research"
1341,"teknisk chef, teknikchef, konsultchef, projekteringschef"
1342,"teknisk chef, teknikchef, konsultchef, projekteringschef"
1351,"fastighetschef, fastighetsförvaltare, förvaltare, property manager, facility manager"
1352,"fastighetschef, fastighetsförvaltare, förvaltare, property manager, facility manager"
1361,"platschef, byggchef, arbetschef, entreprenadchef, site manager"
1362,"platschef, byggchef, arbetschef, entreprenadchef, site manager"
1371,"fabrikschef, driftchef, produktionsledare, plant manager, factory manager"
1372,"fabrikschef, driftchef, produktionsledare, plant manager, factory manager"
1380,"godsförvaltare, skogsförvaltare, lantbrukschef, farm manager, estate manager"
1411,"biträdande rektor, skolledare, skolchef, utbildningschef"
1412,"skolledare, skolchef, principal, head teacher"
1421,"dagischef, förskolerektor, biträdande förskolechef, daycare, kindergarten"
1422,"förskolerektor, dagischef, daycare, kindergarten"
1491,"utbildningsledare, skolledare, utbildningschef, rektor"
1492,"utbildningschef, skolchef, skolledare, utbildningsledare"
1511,"sjukhuschef, vårdchef, chefläkare, medical director, hospital director"
1512,"vårdenhetschef, vårdchef, chefssjuksköterska, nurse manager, ward manager"
1521,"socialchef, ifo-chef, verksamhetschef, områdeschef"
1522,"föreståndare, socialtjänst, verksamhetschef, gruppchef"
1531,"äldreomsorgschef, omsorgschef, hemtjänstchef, verksamhetschef"
1532,"hemtjänstchef, äldreboendechef, omsorgschef, föreståndare, boendechef"
1540,"kyrkoherde, pastor, biskop, imam, kyrka"
1591,"myndighetschef, avdelningschef, förvaltningschef, offentlig sektor"
1592,"myndighetschef, enhetschef, förvaltningschef, offentlig sektor"
1611,"bankchef, bankdirektör, försäkringschef, kontorschef"
1612,"bankchef, bankdirektör, försäkringschef, kontorschef"
1711,"hotellchef, hotelldirektör, general manager, hospitality"
1712,"hotellchef, hotelldirektör, general manager, hospitality"
1721,"restaurangchef, kökschef, köksmästare, krögare, head chef"
1722,"restaurangchef, kökschef, köksmästare, krögare, head chef"
1731,"butikschef, handlare, butiksägare, varuhuschef, store manager"
1732,"butikschef, handlare, butiksägare, varuhuschef, store manager"
1741,"gymchef, idrottschef, fritidschef, sportchef, klubbdirektör"
1742,"gymchef, idrottschef, fritidschef, sportchef, klubbdirektör"
1791,"servicechef, driftchef, verksamhetschef, platschef"
1792,"servicechef, driftchef, verksamhetschef, platschef"
2111,"astronom, astrofysiker, fysik, physicist, forskare"
2112,"meteorolog, klimatolog, väder, smhi, weather"
2113,"kemist, kemi, laboratorium, chemistry"
2114,"geolog, geovetare, hydrolog, geokemist, geoscience"
2121,"aktuarie, försäkringsmatematiker, matematik, actuary"
2122,"statistik, dataanalytiker, biostatistiker, analytiker, data analyst"
2131,"biolog, mikrobiolog, biokemist, genetiker, molekylärbiolog"
2132,"biolog, zoolog, botaniker, ekolog, marinbiolog, ecologist"
2133,"farmakolog, toxikolog, läkemedel, biomedicin, toxicologist"
2134,"agronom, lantmästare, jordbruk, växtodling, agronomist"
2135,"jägmästare, skogsmästare, skogskonsulent, skog, forester"
2141,"produktionsingenjör, logistiker, kvalitetsingenjör, produktionsteknik, industrial engineer"
2142,"byggingenjör, konstruktör, samhällsbyggnad, civil engineer, structural engineer"
2143,"elektroingenjör, elingenjör, elkraftsingenjör, elektronikingenjör, telekom, electrical engineer"
2144,"maskiningenjör, konstruktör, fordonsteknik, mechanical engineer"
2145,"kemiingenjör, processingenjör, bioteknik, chemical engineer"
2146,"gruvingenjör, bergsingenjör, metallurg, mining engineer, metallurgist"
2149,"civilingenjör, ingenjör, patentingenjör, engineer"
2161,"inredningsarkitekt, byggnadsarkitekt, arkitektur, architecture"
2162,"trädgårdsarkitekt, trädgårdsdesign, utemiljö, landscaping"
2163,"stadsplanerare, samhällsplanerare, trafikplanerare, stadsbyggnad, urban planner"
2164,"kartograf, mätningsingenjör, gis, geodesi, kartor"
2171,"produktdesigner, formgivare, produktutveckling, formgivning"
2172,"grafiker, illustratör, art director, layout"
2173,"speldesigner, spelutvecklare, ux, interaktionsdesigner, webbdesigner"
2179,"modedesigner, kläddesigner, textildesigner, modeskapare"
2181,"skyddsingenjör, arbetsmiljöingenjör, arbetsmiljö, ehs, safety engineer"
2182,"miljöinspektör, hälsoskyddsinspektör, livsmedelsinspektör, tillsyn"
2183,"miljökonsult, miljösamordnare, miljöstrateg, hållbarhet, sustainability"
2211,"läkare, doktor, överläkare, kirurg, doctor"
2212,"läkare, doktor, underläkare, specialisttjänstgöring, doctor"
2213,"läkare, doktor, allmäntjänstgöring, doctor"
2219,"doktor, allmänläkare, husläkare, gp, doctor"
2221,"sjuksköterska, sköterska, allmänsjuksköterska, registered nurse"
2222,"barnmorska, förlossning, mödravård, bb, midwifery"
2223,"narkossköterska, narkossjuksköterska, anestesisjuksköterska, narkos, sjuksköterska"
2224,"distriktssköterska, dsk, vårdcentral, hemsjukvård, sjuksköterska"
2225,"psykiatrisjuksköterska, psykiatrisköterska, psykiatri, sjuksköterska, mental health"
2226,"ambulanssjuksköterska, ambulans, akutsjukvård, sjuksköterska, paramedic"
2227,"geriatriksjuksköterska, geriatrik, äldrevård, äldreomsorg, sjuksköterska"
2228,"iva, iva-sjuksköterska, intensivvårdssjuksköterska, sjuksköterska, icu"
2231,"operationssjuksköterska, op-sjuksköterska, operationssköterska, kirurgi, sjuksköterska"
2232,"barnsjuksköterska, bvc, barnavårdscentral, pediatrik, sjuksköterska"
2233,"skolsköterska, skolsjuksköterska, elevhälsa, sjuksköterska"
2234,"företagssköterska, företagssjuksköterska, företagshälsovård, sjuksköterska, occupational health"
2235,"röntgensjuksköterska, röntgensköterska, röntgen, radiologi, radiographer"
2239,"sjuksköterska, specialistsjuksköterska, diabetessjuksköterska, onkologisjuksköterska"
2241,"psykolog, psykologi, klinisk psykolog, skolpsykolog"
2242,"psykoterapeut, terapeut, kbt, samtalsterapi, therapist"
2250,"veterinär, djurläkare, vet, djursjukhus"
2260,"tandvård, folktandvården, odontologi, dentistry"
2271,"kiropraktor, naprapat, osteopat, manuell terapi"
2272,"fysioterapeut, sjukgymnast, fysio, rehab, physical therapist"
2273,"arbetsterapeut, rehab, hjälpmedel, rehabilitering, ot"
2281,"farmaceut, apotek, farmaci, läkemedel, pharmacy"
2282,"dietist, nutritionist, kostrådgivare, kost, nutrition"
2283,"audionom, logoped, talpedagog, hörselvård, speech pathologist"
2284,"optometrist, glasögon, syn, optometri"
2289,"sjukhusfysiker, specialist, vård, hälsa"
2311,"professor, universitetslärare, forskare, akademiker"
2312,"lektor, universitetslektor, docent, forskare, senior lecturer"
2313,"postdoc, postdoktor, biträdande lektor, forskningsassistent, forskare"
2314,"doktorand, forskarstuderande, licentiand, forskarutbildning, doctoral student"
2319,"adjunkt, universitetsadjunkt, högskoleadjunkt, timlärare"
2320,"yrkeslärare, komvux, yrkesutbildning, yh-lärare"
2330,"lärare, ämneslärare, gymnasieskola, high school teacher"
2341,"lärare, grundskolelärare, lågstadielärare, mellanstadielärare, högstadielärare, klasslärare"
2342,"fritids, fritidshem, fritidslärare, pedagog"
2343,"förskolelärare, förskola, dagis, pedagog, kindergarten"
2351,"specialpedagog, särskola, elevhälsa, resurslärare"
2352,"syv, syo, studievägledare, karriärvägledare, vägledare, career counselor"
2359,"pedagog, lärare, utbildningskonsult"
2411,"revisor, redovisningskonsult, redovisningsekonom, bokföring, auditor"
2412,"ekonom, business controller, verksamhetscontroller, ekonomistyrning"
2413,"finansrådgivare, bankrådgivare, placeringsrådgivare, analytiker, financial advisor"
2414,"aktiemäklare, fondmäklare, börsmäklare, kapitalförvaltare, portfolio manager"
2415,"ekonom, nationalekonom, chefsekonom, makroekonom, analytiker"
2419,"ekonom, företagsekonom, ekonomikonsult"
2421,"managementkonsult, verksamhetsutvecklare, organisationskonsult, konsult, management consultant"
2422,"handläggare, strateg, samordnare, policy analyst"
2423,"rekryterare, personalvetare, hr business partner, hr-konsult, recruiter"
2431,"reklam, marknadsföring, annonsering, seo"
2432,"kommunikatör, informatör, pressekreterare, pr-konsult, communications"
2511,"systemarkitekt, lösningsarkitekt, it-arkitekt, enterprise architect, solution architect, kravanalytiker"
2512,"programmerare, utvecklare, it, programmer, coder, backend, frontend, fullstack"
2513,"spelutvecklare, spelprogrammerare, speldesigner, gamedev, game developer, game designer"
2514,"testare, mjukvarutestare, qa, testautomation, software tester, quality assurance"
2515,"förvaltare, it-förvaltare, förvaltningsledare, systemansvarig, application manager, it"
2516,"cybersäkerhet, it-säkerhet, penetrationstestare, säkerhetsanalytiker, cybersecurity, infosec"
2519,"it-konsult, it-expert, it, dataspecialist, it consultant, tech specialist"
2611,"advokat, jurist, försvarsadvokat, brottmål, attorney, lawyer"
2612,"rådman, tingsrätt, hovrätt, domstol, lagman, judge, court"
2613,"kammaråklagare, åklagarmyndigheten, jurist, åtal, prosecutor, district attorney"
2614,"bolagsjurist, affärsjurist, jurist, corporate lawyer, legal counsel"
2615,"kommunjurist, stadsjurist, myndighetsjurist, jurist, förvaltningsrätt, legal adviser"
2619,"jurist, juridik, notarie, legal, lawyer"
2621,"intendent, museum, konservator, kulturarv, curator"
2622,"bibliotekarie, arkivarie, bibliotek, arkiv, librarian, archivist, library"
2623,"arkeolog, historiker, utgrävning, humanist, historian"
2641,"skribent, poet, dramatiker, romanförfattare, writer, novelist"
2642,"reporter, redaktör, korrespondent, nyheter, journalist, press"
2643,"tolk, översättning, språkvetare, teckenspråkstolk, translator, interpreter, linguist"
2651,"konstnär, tecknare, illustratör, skulptör, painter, illustrator, artist"
2652,"låtskrivare, dirigent, artist, band, songwriter, conductor"
2653,"koreograf, dansör, balett, dans, dancer, ballet"
2654,"regissör, producent, filmregissör, tv-producent, director, filmmaker"
2655,"skådis, teater, film, actor, actress"
2661,"socionom, soc, socialtjänst, socialarbetare, social worker, caseworker"
2662,"kurator, skolkurator, sjukhuskurator, socionom, counsellor, counselor"
2663,"biståndshandläggare, äldreomsorg, socialtjänst, lss, care manager, needs assessor"
2669,"socionom, socialarbetare, fältassistent, familjebehandlare, welfare officer"
2671,"präst, pastor, kyrka, imam, rabbin, priest, clergy"
2672,"diakon, kyrka, församling, svenska kyrkan, deacon"
3111,"produktionstekniker, logistiker, produktionsplanerare, production engineer, industrial engineer"
3112,"byggnadsingenjör, byggingenjör, anläggningsingenjör, byggtekniker, civil engineer, construction engineer"
3113,"elingenjör, elektroingenjör, eltekniker, elkonstruktör, electrical engineer"
3114,"maskiningenjör, maskinkonstruktör, konstruktör, maskintekniker, cad, mechanical engineer"
3115,"kemiingenjör, kemist, processtekniker, kemitekniker, chemical engineer, process engineer"
3116,"gruvingenjör, metallurg, bergsingenjör, gruva, mining engineer, metallurgist"
3117,"kartograf, geodata, mätningsingenjör, karta, cartographer, mapping"
3119,"ingenjör, tekniker, teknik, engineer, technician"
3121,"byggledare, platschef, förman, byggarbetsledare, site manager, foreman"
3122,"produktionsledare, förman, teamledare, skiftledare, production supervisor"
3151,"sjöingenjör, maskinist, maskinchef, sjöfart, fartyg, marine engineer"
3152,"kapten, sjökapten, styrman, befälhavare, lots, captain, skipper"
3153,"pilot, flygkapten, trafikflygare, flygare, airline pilot, aviator"
3154,"flygtrafikledare, flygledning, atc, air traffic control, controller"
3155,"flygmekaniker, flygplanstekniker, avionik, helikoptertekniker, aircraft mechanic, avionics"
3211,"röntgen, medicinteknik, radiologi, strålbehandling, x-ray, imaging"
3212,"bma, labb, laboratorium, provtagning, lab technician, biomedical analyst"
3213,"receptarie, apotek, farmaceut, läkemedel, pharmacist, pharmacy"
3214,"ortopedtekniker, tandteknik, protes, ortoped, prosthetics, orthotics"
3215,"labbingenjör, laboratorietekniker, labb, lab engineer, lab technician"
3230,"akupunktör, homeopat, zonterapeut, naturmedicin, acupuncturist, homeopath"
3240,"djurvårdare, djursjukhus, djurklinik, veterinary nurse, animal care"
3250,"tandhygienist, tandvård, munhygien, folktandvården, oral health"
3311,"börsmäklare, aktiemäklare, fondmäklare, valutamäklare, trader, stockbroker"
3312,"bankrådgivare, banktjänsteman, bankkassör, teller, banking"
3313,"redovisningskonsult, bokförare, bokföring, ekonom, accountant, bookkeeper"
3314,"skadereglering, värderingsman, försäkring, besiktning, claims adjuster, appraiser"
3321,"försäkringsförmedlare, försäkring, rådgivare, säljare, insurance broker, insurance agent"
3322,"säljare, utesäljare, account manager, key account, b2b, sales rep, salesperson"
3323,"inköp, upphandling, inköpsansvarig, buyer, procurement, sourcing"
3324,"orderadministratör, ordermottagare, orderhantering, order administrator, sales support"
3331,"speditör, spedition, logistik, frakt, freight forwarder, shipping agent"
3332,"eventkoordinator, evenemangsplanerare, konferens, mässa, event coordinator"
3333,"arbetsförmedling, jobbcoach, af, matchning, job coach, employment adviser"
3334,"mäklare, bostadsmäklare, bostad, realtor, broker"
3335,"förvaltare, fastighet, bostadsförvaltare, property manager, facility manager"
3339,"agent, förmedling, mellanhand, broker, intermediary"
3341,"teamledare, arbetsledare, samordnare, team leader, office manager"
3342,"paralegal, juristassistent, domstolshandläggare, legal assistant"
3343,"sekreterare, assistent, ledningsassistent, ea, pa, executive assistant, personal assistant"
3351,"tullare, tulltjänsteman, kustbevakare, tullen, gränskontroll, border control"
3352,"skatteverket, handläggare, skatt, deklaration, revenue officer"
3353,"försäkringskassan, handläggare, bidrag, pension, benefits officer, caseworker"
3354,"besiktningsman, arbetsmiljöinspektör, kvalitetskontroll, bilinspektör, quality control"
3355,"brandinspektör, brandskydd, bygglov, räddningstjänst, safety engineer"
3359,"utredare, administratör, koordinator, myndighet, case officer"
3360,"polis, polisman, kriminalinspektör, kriminalare, ordningspolis, cop, detective"
3411,"boendestödjare, behandlingsassistent, socialpedagog, hvb, support worker"
3412,"pastor, predikant, frikyrka, församling, missionär, preacher, evangelist"
