ssyk_code,svensk_titel
0110,Officerare
0210,Specialistofficerare
0310,Soldater m.fl.
1111,Politiker
1112,"General-, landstings- och kommundirektörer m.fl."
1113,Chefstjänstemän i intresseorganisationer
1120,Verkställande direktörer m.fl.
1211,"Ekonomi- och finanschefer, nivå 1"
1212,"Ekonomi- och finanschefer, nivå 2"
1221,"Personal- och HR-chefer, nivå 1"
1222,"Personal- och HR-chefer, nivå 2"
1230,Förvaltnings- och planeringschefer
1241,"Informations-, kommunikations- och PR-chefer, nivå 1"
1242,"Informations-, kommunikations - och PR-chefer, nivå 2"
1251,"Försäljnings- och marknadschefer, nivå 1"
1252,"Försäljnings- och marknadschefer, nivå 2"
1291,"Övriga administrations- och servicechefer, nivå 1"
1292,"Övriga administrations- och servicechefer, nivå 2"
1311,"IT-chefer, nivå 1"
1312,"IT-chefer, nivå 2"
1321,"Inköps-, logistik- och transportchefer, nivå 1"
1322,"Inköps-, logistik- och transportchefer, nivå 2"
1331,"Forsknings- och utvecklingschefer, nivå 1"
1332,"Forsknings- och utvecklingschefer, nivå 2"
1341,"Chefer inom arkitekt- och ingenjörsverksamhet, nivå 1"
1342,"Chefer inom arkitekt- och ingenjörsverksamhet, nivå 2"
1351,"Fastighets- och förvaltningschefer, nivå 1"
1352,"Fastighets- och förvaltningschefer, nivå 2"
1361,"Driftchefer inom bygg, anläggning och gruva, nivå 1"
1362,"Driftchefer inom bygg, anläggning och gruva, nivå 2"
1371,"Produktionschefer inom tillverkning, nivå 1"
1372,"Produktionschefer inom tillverkning, nivå 2"
1380,Förvaltare inom skogsbruk och lantbruk m.fl.
1411,"Avdelningschefer inom grund- och gymnasieskola samt vuxenutbildning, nivå 1"
1412,"Rektorer, nivå 2"
1421,"Avdelningschefer inom förskola, nivå 1"
1422,"Förskolechefer, nivå 2"
1491,"Övriga avdelningschefer inom utbildning, nivå 1"
1492,"Övriga verksamhetschefer inom utbildning, nivå 2"
1511,"Klinik- och verksamhetschefer inom hälsa och sjukvård, nivå 1"
1512,"Avdelnings- och enhetschefer inom hälsa och sjukvård, nivå 2"
1521,"Avdelningschefer inom socialt och kurativt arbete, nivå 1"
1522,"Enhetschefer inom socialt och kurativt arbete, nivå 2"
1531,"Avdelningschefer inom äldreomsorg, nivå 1"
1532,"Enhetschefer inom äldreomsorg, nivå 2"
1540,Chefer och ledare inom trossamfund
1591,"Övriga chefer inom samhällsservice, nivå 1"
1592,"Övriga verksamhetschefer inom samhällsservice, nivå 2"
1611,"Chefer inom bank, finans och försäkring, nivå 1"
1612,"Chefer inom bank, finans och försäkring, nivå 2"
1711,"Hotell- och konferenschefer, nivå 1"
1712,"Hotell- och konferenschefer, nivå 2"
1721,"Restaurang- och kökschefer, nivå 1"
1722,"Restaurang- och kökschefer, nivå 2"
1731,"Chefer inom handel, nivå 1"
1732,"Chefer inom handel, nivå 2"
1741,"Chefer inom friskvård, sport och fritid, nivå 1"
1742,"Chefer inom friskvård, sport och fritid, nivå 2"
1791,"Chefer inom övrig servicenäring, nivå 1"
1792,"Chefer inom övrig servicenäring, nivå 2"
2111,Fysiker och astronomer
2112,Meteorologer
2113,Kemister
2114,Geologer och geofysiker m.fl.
2121,Matematiker och aktuarier
2122,Statistiker
2131,Cell- och molekylärbiologer m.fl.
2132,Växt- och djurbiologer
2133,Farmakologer och biomedicinare
2134,Specialister och rådgivare inom lantbruk m.m.
2135,Specialister och rådgivare inom skogsbruk
2141,Civilingenjörsyrken inom logistik och produktionsplanering
2142,Civilingenjörsyrken inom bygg och anläggning
2143,Civilingenjörsyrken inom elektroteknik
2144,Civilingenjörsyrken inom maskinteknik
2145,Civilingenjörsyrken inom kemi och kemiteknik
2146,Civilingenjörsyrken inom gruvteknik och metallurgi
2149,Övriga civilingenjörsyrken
2161,Arkitekter m.fl.
2162,Landskapsarkitekter
2163,Planeringsarkitekter m.fl.
2164,Lantmätare
2171,Industridesigner
2172,Grafisk formgivare m.fl.
2173,Designer inom spel och digitala medier
2179,Övriga designer och formgivare
2181,"Arbetsmiljöingenjörer, yrkes- och miljöhygieniker"
2182,Miljö- och hälsoskyddsinspektörer
2183,Specialister inom miljöskydd och miljöteknik
2211,Specialistläkare
2212,ST-läkare
2213,AT-läkare
2219,Övriga läkare
2221,Grundutbildade sjuksköterskor
